username,profile_url,follower_count,found_in_query
stephdelmor,https://www.tiktok.com/@stephdelmor,1.2M,Minnesota pilates instructor
potroastsmom,https://www.tiktok.com/@potroastsmom,1.2M,Minnesota kitten
lorintay0,https://www.tiktok.com/@lorintay0,1.2M,Minnesota cat mom
mr_n,https://www.tiktok.com/@mr_n,1.1M,MN
officialmr_n,https://www.tiktok.com/@officialmr_n,1.1M,MN
fanswestenchamplin,https://www.tiktok.com/@fanswestenchamplin,1.1M,Champlin
aloniniyb,https://www.tiktok.com/@aloniniyb,1.1M,Minnesota influencer local
lidiavmera,https://www.tiktok.com/@lidiavmera,1.1M,Minnesota pilates instructor
izzy.samuel,https://www.tiktok.com/@izzy.samuel,1.1M,Minnesota pilates instructor
ministry_of_knowlede,https://www.tiktok.com/@ministry_of_knowlede,1M,Minnesota education
isaiahrodgers,https://www.tiktok.com/@isaiahrodgers,1M,Minnesota hiker
snowymobile2022,https://www.tiktok.com/@snowymobile2022,995.4K,Minnesota snowmobile
movewithnicole,https://www.tiktok.com/@movewithnicole,982.3K,Minnesota pilates instructor
lo3ebozz,https://www.tiktok.com/@lo3ebozz,970.6K,STP
minneninja,https://www.tiktok.com/@minneninja,936K,Minne
dayton,https://www.tiktok.com/@dayton,870.2K,Dayton MN
daytonmodderman,https://www.tiktok.com/@daytonmodderman,870.2K,Dayton MN
lider_estate,https://www.tiktok.com/@lider_estate,865.1K,Minnesota real estate agent
savvyaboutcampers,https://www.tiktok.com/@savvyaboutcampers,863.4K,Minnesota camper
hotseniorpups,https://www.tiktok.com/@hotseniorpups,842.7K,Minnesota dog mom
ixlih,https://www.tiktok.com/@ixlih,774.8K,Minnesota restaurant review
4new_hope,https://www.tiktok.com/@4new_hope,767.1K,New Hope MN
ak.studio01,https://www.tiktok.com/@ak.studio01,764.7K,Minnesota graphic design
mcmnoficial,https://www.tiktok.com/@mcmnoficial,753.9K,MN
ilhanmn,https://www.tiktok.com/@ilhanmn,746.7K,living in Minneapolis
transitions_community,https://www.tiktok.com/@transitions_community,734.1K,TC
heymom,https://www.tiktok.com/@heymom,731.6K,Minnesota hockey mom
minnesotaheymom,https://www.tiktok.com/@minnesotaheymom,731.6K,Minnesota hockey mom
mypersonaltrainer,https://www.tiktok.com/@mypersonaltrainer,721.1K,Minnesota personal trainer
myptrainer,https://www.tiktok.com/@myptrainer,721.1K,Minnesota personal trainer
minna,https://www.tiktok.com/@minna,696.1K,Minnesota fashion blogger
minnafashion,https://www.tiktok.com/@minnafashion,696.1K,Minnesota fashion blogger
pilatesbodyraven,https://www.tiktok.com/@pilatesbodyraven,696.1K,Minnesota pilates instructor
yachtmogul,https://www.tiktok.com/@yachtmogul,681.2K,Minnesota broker
bassfishingproductions,https://www.tiktok.com/@bassfishingproductions,676.8K,Minnesota bass fishing
filmoo,https://www.tiktok.com/@filmoo,653.1K,Minnesota film
filmoocinemas,https://www.tiktok.com/@filmoocinemas,653.1K,Minnesota film
unreelminnesota,https://www.tiktok.com/@unreelminnesota,648.4K,Minnesota runner
albertvilledesign,https://www.tiktok.com/@albertvilledesign,642.3K,Albertville
winona,https://www.tiktok.com/@winona,640.1K,Winona
winonakicks,https://www.tiktok.com/@winonakicks,640.1K,Winona
diy.home.tips,https://www.tiktok.com/@diy.home.tips,636.9K,Minnesota DIY home
mattjonesmtb,https://www.tiktok.com/@mattjonesmtb,627K,Minnesota biker
animalrescuecenter2,https://www.tiktok.com/@animalrescuecenter2,621.7K,Minnesota animal rescue
lessonsbylisab,https://www.tiktok.com/@lessonsbylisab,569.6K,Minnesota yoga instructor
detroitredwings,https://www.tiktok.com/@detroitredwings,537.3K,Red Wing
scottyjames31,https://www.tiktok.com/@scottyjames31,532.7K,Minnesota snowboarding
im__gella,https://www.tiktok.com/@im__gella,509.4K,Minnesota fitness trainer
thesocialctv,https://www.tiktok.com/@thesocialctv,509.1K,Minnesota social media
zebpowelll,https://www.tiktok.com/@zebpowelll,508K,Minnesota snowboarding
iiiialexandria,https://www.tiktok.com/@iiiialexandria,503.8K,Alexandria MN
crossfitgames,https://www.tiktok.com/@crossfitgames,496.4K,Minnesota crossfit
international,https://www.tiktok.com/@international,485.9K,International Falls
gojasih1,https://www.tiktok.com/@gojasih1,485.9K,International Falls
agriculture,https://www.tiktok.com/@agriculture,468.8K,Minnesota agriculture
agriculturaltechnology,https://www.tiktok.com/@agriculturaltechnology,468.8K,Minnesota agriculture
ib65k,https://www.tiktok.com/@ib65k,464.8K,Minnesota real estate agent
color_palette_studio,https://www.tiktok.com/@color_palette_studio,461K,Minnesota graphic design
the_original_tc,https://www.tiktok.com/@the_original_tc,457.4K,TC
karltowns32,https://www.tiktok.com/@karltowns32,444.7K,Minnesota basketball player
lynne_fit,https://www.tiktok.com/@lynne_fit,439.8K,Minnesota fitness trainer
catmother,https://www.tiktok.com/@catmother,430.1K,Minnesota cat mom
curhatan_mpus,https://www.tiktok.com/@curhatan_mpus,430.1K,Minnesota cat mom
luxliferealtor,https://www.tiktok.com/@luxliferealtor,426.7K,Minnesota real estate agent
fashion.blogger15,https://www.tiktok.com/@fashion.blogger15,422.5K,Minnesota fashion blogger
wuenona12,https://www.tiktok.com/@wuenona12,413K,Winona
minnie,https://www.tiktok.com/@minnie,408.8K,Minne
tasteracha_,https://www.tiktok.com/@tasteracha_,408.8K,Minne
natminsi,https://www.tiktok.com/@natminsi,406.3K,Minnesota native
austin.mfit,https://www.tiktok.com/@austin.mfit,404.2K,Austin MN
medinaa26_03,https://www.tiktok.com/@medinaa26_03,395.5K,Medina MN
msp,https://www.tiktok.com/@msp,384.6K,MSP
mlsapinas,https://www.tiktok.com/@mlsapinas,384.6K,MSP
hair.stylist81,https://www.tiktok.com/@hair.stylist81,374K,Minnesota hair stylist
midsizefashionblogger,https://www.tiktok.com/@midsizefashionblogger,371.2K,Minnesota fashion blogger
smn74,https://www.tiktok.com/@smn74,365.6K,Minnesota social media
socialmedianews74,https://www.tiktok.com/@socialmedianews74,365.6K,Minnesota social media
mnwild,https://www.tiktok.com/@mnwild,357.4K,Minnesota
lexilwatts,https://www.tiktok.com/@lexilwatts,350.6K,Minnesota runner
rokkr_mn,https://www.tiktok.com/@rokkr_mn,346.6K,Rochester Minnesota
modeloxx,https://www.tiktok.com/@modeloxx,342.8K,Minnesota fashion model
clippedbygenz,https://www.tiktok.com/@clippedbygenz,339.6K,Minnesota gen z
minne88_44,https://www.tiktok.com/@minne88_44,338K,Minne
carolineominne,https://www.tiktok.com/@carolineominne,333.7K,Minne
durdenclips,https://www.tiktok.com/@durdenclips,330.4K,New Hope MN
