channel_name,handle,profile_url,subscriber_count,found_in_query
Twinkies Edits,,https://www.youtube.com/results?search_query=Twinkies+Edits,1000000000000,underrated Minnesota
coonlakeproductions,,https://www.youtube.com/results?search_query=coonlakeproductions,61.8M,Minnesota Polish food
Carolyn Will,,https://www.youtube.com/results?search_query=Carolyn+Will,61.8M,Minnesota auto glass
Dude Perfect,,https://www.youtube.com/results?search_query=Dude+Perfect,61.8M,Minnesota laser tag
Cody Pucks,,https://www.youtube.com/results?search_query=Cody+Pucks,61.8M,Minnesota knights columbus
Century 21 Vista,,https://www.youtube.com/results?search_query=Century+21+Vista,61.8M,Clay County Minnesota
Ellis Love,,https://www.youtube.com/results?search_query=Ellis+Love,38.5M,Minnesota caving
Danielle George,,https://www.youtube.com/results?search_query=Danielle+George,38.5M,Minnesota dive bar
Markiplier,,https://www.youtube.com/results?search_query=Markiplier,38.5M,Minnesota donut shop
emma,,https://www.youtube.com/results?search_query=emma,38.5M,Minnesota sandwich shop
Liminal Case Files,,https://www.youtube.com/results?search_query=Liminal+Case+Files,38.5M,Minnesota dive bar
ian iversen,,https://www.youtube.com/results?search_query=ian+iversen,38.5M,Minnesota sandwich shop
Organic Compound,,https://www.youtube.com/results?search_query=Organic+Compound,22.9M,Minnesota cider making
The Derek Rushlow Show,,https://www.youtube.com/results?search_query=The+Derek+Rushlow+Show,22.5M,Minnesota amusement park
Jackson Smidt,,https://www.youtube.com/results?search_query=Jackson+Smidt,22.5M,Minnesota Spanish class
The Faulty Grimoire,,https://www.youtube.com/results?search_query=The+Faulty+Grimoire,22.5M,Minnesota bath bomb
Shweta Sharma,,https://www.youtube.com/results?search_query=Shweta+Sharma,21.6M,Minnesota hindu
Habitual Linecrosser,,https://www.youtube.com/results?search_query=Habitual+Linecrosser,20M,Minnesota German class
Waconia Public Schools,,https://www.youtube.com/results?search_query=Waconia+Public+Schools,20M,Minnesota German class
WHATS NEW IN MINNESOTA,,https://www.youtube.com/results?search_query=WHATS+NEW+IN+MINNESOTA,19.4M,Minnesota new
New Horizons of Minnesota,,https://www.youtube.com/results?search_query=New+Horizons+of+Minnesota,19.4M,Minnesota new
Minnesota Four Wheel Drive Association,,https://www.youtube.com/results?search_query=Minnesota+Four+Wheel+Drive+Association,19.4M,Minnesota new
The Gamer Ky Show,,https://www.youtube.com/results?search_query=The+Gamer+Ky+Show,18M,Minnesota trampoline park
Esraa Mohamed,,https://www.youtube.com/results?search_query=Esraa+Mohamed,18M,Minnesota skincare DIY
Sisters in Christ,,https://www.youtube.com/results?search_query=Sisters+in+Christ,18M,Minnesota skincare DIY
Leymer Rodriguez,,https://www.youtube.com/results?search_query=Leymer+Rodriguez,17.8M,Minnesota plumber
The Puffy Lion Dog Podcast,,https://www.youtube.com/results?search_query=The+Puffy+Lion+Dog+Podcast,17.8M,Minnesota pet groomer
Hoa Tv,,https://www.youtube.com/results?search_query=Hoa+Tv,17.8M,Minnesota HOA
Strawberry Park,,https://www.youtube.com/results?search_query=Strawberry+Park,17.8M,Minnesota plumber
Tolarian Community College,,https://www.youtube.com/results?search_query=Tolarian+Community+College,17M,Minnesota tutor
CrashCourse,,https://www.youtube.com/results?search_query=CrashCourse,17M,Minnesota tutor
American Legacy,,https://www.youtube.com/results?search_query=American+Legacy,17M,Minnesota Greek food
Bloomington Wellness Center,,https://www.youtube.com/results?search_query=Bloomington+Wellness+Center,17M,Minnesota alignment
positive.inteGer,,https://www.youtube.com/results?search_query=positive.inteGer,17M,Minnesota GED
Tony Schwartz Bodywork LLC,,https://www.youtube.com/results?search_query=Tony+Schwartz+Bodywork+LLC,17M,Minnesota alignment
ParentHelp911,,https://www.youtube.com/results?search_query=ParentHelp911,17M,Minnesota adult education
Pass Your G.E.D. Exam Quickly - GED Exam Prep,,https://www.youtube.com/results?search_query=Pass+Your+G.E.D.+Exam+Quickly+-+GED+Exam+Prep,17M,Minnesota GED
Sam and Colby,,https://www.youtube.com/results?search_query=Sam+and+Colby,15.6M,Minnesota paranormal
natemann133,,https://www.youtube.com/results?search_query=natemann133,15.6M,Pine Springs MN
Archdetect Detecting,,https://www.youtube.com/results?search_query=Archdetect+Detecting,15.6M,Minnesota treasure hunting
Diego Vázquez Jr,,https://www.youtube.com/results?search_query=Diego+Vázquez+Jr,15.6M,Minnesota French class
Minnesota Parent,,https://www.youtube.com/results?search_query=Minnesota+Parent,15.6M,Minnesota Halloween
Forbes Breaking News,,https://www.youtube.com/results?search_query=Forbes+Breaking+News,15.1M,Minnesota news
State Briefing,@StateBriefing,https://www.youtube.com/results?search_query=State+Briefing,15.1M,Minnesota current events
Cory Hepola,,https://www.youtube.com/results?search_query=Cory+Hepola,15M,Minnesota frozen yogurt
Lynz Riot,,https://www.youtube.com/results?search_query=Lynz+Riot,15M,Minnesota bird store
URBAN CONVERSION,,https://www.youtube.com/results?search_query=URBAN+CONVERSION,15M,Minnesota French class
Always Something,,https://www.youtube.com/results?search_query=Always+Something,15M,Minnesota allergy
Franco Miller,,https://www.youtube.com/results?search_query=Franco+Miller,15M,Minnesota soap making
MineandMy13,,https://www.youtube.com/results?search_query=MineandMy13,15M,Minnesota frozen yogurt
Steadie180,,https://www.youtube.com/results?search_query=Steadie180,15M,Minnesota Japanese class
Tornadicair,,https://www.youtube.com/results?search_query=Tornadicair,15M,Minnesota soap making
Exclusively Diamonds Mankato,,https://www.youtube.com/results?search_query=Exclusively+Diamonds+Mankato,13.8M,Minnesota chocolate shop
Thrifting MN. With Kevin,,https://www.youtube.com/results?search_query=Thrifting+MN.+With+Kevin,13.7M,Minnesota shoe store
Chris Poppo,,https://www.youtube.com/results?search_query=Chris+Poppo,12.9M,Pine County MN
Offbeat Explorations,,https://www.youtube.com/results?search_query=Offbeat+Explorations,12.7M,Minnesota observatory
Caelum,,https://www.youtube.com/results?search_query=Caelum,12.7M,Minnesota observatory
Your Twins Cities MN,,https://www.youtube.com/results?search_query=Your+Twins+Cities+MN,11.6M,Twin Cities eats
Bambonick,,https://www.youtube.com/results?search_query=Bambonick,11.6M,Minnesota steakhouse
Prettybigloser,,https://www.youtube.com/results?search_query=Prettybigloser,11.6M,Minnesota steakhouse
Mark Wiens,,https://www.youtube.com/results?search_query=Mark+Wiens,11.6M,Minnesota Thai food
Avani Grains,,https://www.youtube.com/results?search_query=Avani+Grains,11.6M,Minnesota Indian food
Platinum Spirit,,https://www.youtube.com/results?search_query=Platinum+Spirit,11.6M,Minnesota Mediterranean
habesha kids,,https://www.youtube.com/results?search_query=habesha+kids,11.6M,Minnesota Ethiopian food
Nomadic VanAddict,,https://www.youtube.com/results?search_query=Nomadic+VanAddict,11.6M,Minnesota steakhouse
sharat sahni,,https://www.youtube.com/results?search_query=sharat+sahni,11.6M,Minnesota Indian food
Anisko Tube,,https://www.youtube.com/results?search_query=Anisko+Tube,11.6M,Minnesota Ethiopian food
48 Hours,,https://www.youtube.com/results?search_query=48+Hours,11.2M,Minnesota yoga studio
Glam with Zaifii,,https://www.youtube.com/results?search_query=Glam+with+Zaifii,10.8M,Minnesota skincare DIY
Ani TV,@anitv669,https://www.youtube.com/results?search_query=Ani+TV,10.8M,Minnesota skincare DIY
Long Lake Conservation Center,,https://www.youtube.com/results?search_query=Long+Lake+Conservation+Center,10.7M,St Marys Point MN
Sunny Kim,,https://www.youtube.com/results?search_query=Sunny+Kim,10.7M,Greenwood MN
Yoyo Chinese,,https://www.youtube.com/results?search_query=Yoyo+Chinese,10.7M,St Marys Point MN
Dream Street,,https://www.youtube.com/results?search_query=Dream+Street,10.7M,Greenwood MN
Northern Alliance,,https://www.youtube.com/results?search_query=Northern+Alliance,10.7M,Martin County MN
BVKTV,,https://www.youtube.com/results?search_query=BVKTV,10.6M,Minnesota TV show
Jay Milbrandt,,https://www.youtube.com/results?search_query=Jay+Milbrandt,9.69M,Minnesota MBA
𝐺𝑒𝑎𝑛𝑖𝑒._.𝑤𝑒𝑒𝑛𝑖𝑒,,https://www.youtube.com/results?search_query=𝐺𝑒𝑎𝑛𝑖𝑒._.𝑤𝑒𝑒𝑛𝑖𝑒,9.69M,Minnesota Spanish class
Daybreak Collective MN,,https://www.youtube.com/results?search_query=Daybreak+Collective+MN,9.69M,Minnesota Open Streets
VIKINGS NATION NEWS - VIKINGS NEWS TODAY,,https://www.youtube.com/results?search_query=VIKINGS+NATION+NEWS+-+VIKINGS+NEWS+TODAY,9.69M,Minnesota current events
Rain's A.I. Gamers,,https://www.youtube.com/results?search_query=Rain's+A.I.+Gamers,9.69M,Minnesota Open Streets
Charlie Kirk,,https://www.youtube.com/results?search_query=Charlie+Kirk,9.43M,Minnesota Middle Eastern food
Oxonian,,https://www.youtube.com/results?search_query=Oxonian,9.18M,Minnesota dive bar
"EVS, Inc.",,"https://www.youtube.com/results?search_query=EVS,+Inc.",9.18M,Minnesota transmission
UCF Academic Advancement Programs,,https://www.youtube.com/results?search_query=UCF+Academic+Advancement+Programs,9.18M,Minnesota pharmacy school
Allen Rousseau,,https://www.youtube.com/results?search_query=Allen+Rousseau,9.18M,Minnesota transmission
"David Thao, MD",,"https://www.youtube.com/results?search_query=David+Thao,+MD",9.18M,Minnesota pharmacy school
Pizzeria Vecchia,,https://www.youtube.com/results?search_query=Pizzeria+Vecchia,9.12M,Minnesota pizza
NYMALC,,https://www.youtube.com/results?search_query=NYMALC,9.12M,Minnesota charity
Minnesota Latín Radio,,https://www.youtube.com/results?search_query=Minnesota+Latín+Radio,9.12M,Minnesota daycare
Riley,,https://www.youtube.com/results?search_query=Riley,9.12M,Minnesota caving
EnjoyLife09,,https://www.youtube.com/results?search_query=EnjoyLife09,9.12M,Minnesota Thai food
Our Daily Dash,,https://www.youtube.com/results?search_query=Our+Daily+Dash,9.12M,Minnesota Thai food
ComeOver ImCooking,,https://www.youtube.com/results?search_query=ComeOver+ImCooking,9.12M,Minnesota Somali food
Oasis Of Peace Farm,,https://www.youtube.com/results?search_query=Oasis+Of+Peace+Farm,9.12M,Minnesota German food
RyanJuntunen,,https://www.youtube.com/results?search_query=RyanJuntunen,9.12M,Minnesota poker
The MikeyMike Show,,https://www.youtube.com/results?search_query=The+MikeyMike+Show,9.12M,Minnesota mega church
TheBCPreacher,,https://www.youtube.com/results?search_query=TheBCPreacher,9.12M,Minnesota synagogue
SEEK ONE,,https://www.youtube.com/results?search_query=SEEK+ONE,9.12M,Minnesota sikh
Fresh Coast Hoops,,https://www.youtube.com/results?search_query=Fresh+Coast+Hoops,9.12M,Minnesota French class
Charity KNyaw Kaw,,https://www.youtube.com/results?search_query=Charity+KNyaw+Kaw,9.12M,Minnesota charity
Drone Footage and Music Streaming.,,https://www.youtube.com/results?search_query=Drone+Footage+and+Music+Streaming.,9.12M,Minnesota caving
Paul Joseph Watson,,https://www.youtube.com/results?search_query=Paul+Joseph+Watson,9.12M,Minnesota African food
Miss Elfe TV,,https://www.youtube.com/results?search_query=Miss+Elfe+TV,9.12M,Minnesota African food
MemeSoSoft,,https://www.youtube.com/results?search_query=MemeSoSoft,9.12M,Minnesota German food
Singh.harjinder9681,,https://www.youtube.com/results?search_query=Singh.harjinder9681,9.12M,Minnesota sikh
We Are Vibing,,https://www.youtube.com/results?search_query=We+Are+Vibing,9.12M,Minnesota French class
Smokin' Oak Wood-Fired Pizza,,https://www.youtube.com/results?search_query=Smokin'+Oak+Wood-Fired+Pizza,8.51M,Minnesota pizza
Minnesota RCdad,,https://www.youtube.com/results?search_query=Minnesota+RCdad,8.51M,Minnesota running
Minnesota Working Man,,https://www.youtube.com/results?search_query=Minnesota+Working+Man,8.51M,Minnesota pizza
Minnesota Pedal Quest,,https://www.youtube.com/results?search_query=Minnesota+Pedal+Quest,8.51M,Minnesota running
Rochester TableTennisClub,,https://www.youtube.com/results?search_query=Rochester+TableTennisClub,8.51M,Minnesota tennis
DowntownJournal,,https://www.youtube.com/results?search_query=DowntownJournal,8.51M,Minnesota deli
Batch Kitchen,,https://www.youtube.com/results?search_query=Batch+Kitchen,8.51M,Minnesota burger joint
Cyprian Mendelius,,https://www.youtube.com/results?search_query=Cyprian+Mendelius,8.51M,Minnesota shoe store
MarineMax Sail & Ski Center - Austin,,https://www.youtube.com/results?search_query=MarineMax+Sail+&+Ski+Center+-+Austin,8.51M,Minnesota jet ski dealer
Breaking Points,,https://www.youtube.com/results?search_query=Breaking+Points,8.51M,Minnesota job fair
SavageArtsCouncil,,https://www.youtube.com/results?search_query=SavageArtsCouncil,8.51M,Minnesota art fair
Dylan Page,,https://www.youtube.com/results?search_query=Dylan+Page,8.51M,Minnesota bingo
JABEL TINAMIT,,https://www.youtube.com/results?search_query=JABEL+TINAMIT,8.51M,Minnesota Spanish class
The Age Of Disclosure,,https://www.youtube.com/results?search_query=The+Age+Of+Disclosure,8.51M,Minnesota documentary
Runnin With The Devils,,https://www.youtube.com/results?search_query=Runnin+With+The+Devils,8.51M,Minnesota running
CCTigerTalk,,https://www.youtube.com/results?search_query=CCTigerTalk,8.51M,Minnesota tennis
TEAM Minnesota,,https://www.youtube.com/results?search_query=TEAM+Minnesota,8.51M,Minnesota tennis
Matt Little,,https://www.youtube.com/results?search_query=Matt+Little,8.51M,Minnesota little league
T & D Jetski Performance,,https://www.youtube.com/results?search_query=T+&+D+Jetski+Performance,8.51M,Minnesota jet ski dealer
The Salon Professional Academy Maplewood,,https://www.youtube.com/results?search_query=The+Salon+Professional+Academy+Maplewood,8.51M,Minnesota business school
Captain___Parker,,https://www.youtube.com/results?search_query=Captain___Parker,8.23M,Minnesota CPA
billJLyons,,https://www.youtube.com/results?search_query=billJLyons,8.12M,Minnesota cosmetic surgery
Moonstone Design + Build,,https://www.youtube.com/results?search_query=Moonstone+Design+++Build,7.82M,Minnesota interior design
The Learmann Twins,,https://www.youtube.com/results?search_query=The+Learmann+Twins,7.82M,Minnesota decor
Ryann Vernice,,https://www.youtube.com/results?search_query=Ryann+Vernice,7.82M,Minnesota kitchen store
Better for Burnsville,,https://www.youtube.com/results?search_query=Better+for+Burnsville,7.82M,Minnesota self storage
Get_Some_Sunshine,,https://www.youtube.com/results?search_query=Get_Some_Sunshine,7.82M,Minnesota escape room
Jack Parr,,https://www.youtube.com/results?search_query=Jack+Parr,7.82M,Minnesota go kart
Brett Foster,,https://www.youtube.com/results?search_query=Brett+Foster,7.82M,Minnesota emergency room
Julie Disselkamp,,https://www.youtube.com/results?search_query=Julie+Disselkamp,7.82M,Minnesota interior design
The Blind Mom Next Door,,https://www.youtube.com/results?search_query=The+Blind+Mom+Next+Door,7.82M,Minnesota self storage
Fitzgerald Racing #45,,https://www.youtube.com/results?search_query=Fitzgerald+Racing+#45,7.82M,Minnesota go kart
Roots and Recipes with Robyn,,https://www.youtube.com/results?search_query=Roots+and+Recipes+with+Robyn,7.68M,Minnesota baking
llN3M3515ll,,https://www.youtube.com/results?search_query=llN3M3515ll,7.68M,Minnesota mini golf
MN Sled Dogs,,https://www.youtube.com/results?search_query=MN+Sled+Dogs,7.68M,Minnesota bed and breakfast
The Podcast of the Lotus Eaters,,https://www.youtube.com/results?search_query=The+Podcast+of+the+Lotus+Eaters,7.68M,Minnesota breakfast
Family Literacy at Heritage Middle School,,https://www.youtube.com/results?search_query=Family+Literacy+at+Heritage+Middle+School,7.68M,Minnesota Middle Eastern food
Brett Cooper,,https://www.youtube.com/results?search_query=Brett+Cooper,7.68M,Minnesota tea house
Peter Salazar,,https://www.youtube.com/results?search_query=Peter+Salazar,7.68M,Minnesota bed bath
Fish Man,,https://www.youtube.com/results?search_query=Fish+Man,7.68M,Minnesota aquarium store
Teng Moua,,https://www.youtube.com/results?search_query=Teng+Moua,7.68M,Minnesota laser tag
carissa nelson,,https://www.youtube.com/results?search_query=carissa+nelson,7.68M,Minnesota trampoline park
InMotion Chiropractic,,https://www.youtube.com/results?search_query=InMotion+Chiropractic,7.68M,Minnesota yoga studio
Women's Care Center Foundation,,https://www.youtube.com/results?search_query=Women's+Care+Center+Foundation,7.68M,Minnesota prenatal
BurtonsMaplewoodfarm,,https://www.youtube.com/results?search_query=BurtonsMaplewoodfarm,7.68M,Minnesota candle making
Du's Doughs,,https://www.youtube.com/results?search_query=Du's+Doughs,7.68M,Minnesota baking
Rydell History,,https://www.youtube.com/results?search_query=Rydell+History,7.68M,Minnesota mini golf
eznewmedia,,https://www.youtube.com/results?search_query=eznewmedia,7.68M,Minnesota bed and breakfast
Janet Lenore,,https://www.youtube.com/results?search_query=Janet+Lenore,7.68M,Minnesota breakfast
Schlooie,,https://www.youtube.com/results?search_query=Schlooie,7.68M,Minnesota taco
"Cait Bertram, Minnesota Realtor",,"https://www.youtube.com/results?search_query=Cait+Bertram,+Minnesota+Realtor",7.68M,Minnesota bed bath
Dodson Bro Prods,,https://www.youtube.com/results?search_query=Dodson+Bro+Prods,7.68M,Minnesota laser tag
"Ryan Hall, Y'all",,"https://www.youtube.com/results?search_query=Ryan+Hall,+Y'all",7.68M,Minnesota yoga studio
MAA Minnesota Ayurveda Association,,https://www.youtube.com/results?search_query=MAA+Minnesota+Ayurveda+Association,7.68M,Minnesota prenatal
Minnesota Dogboard,,https://www.youtube.com/results?search_query=Minnesota+Dogboard,7.68M,Minnesota Valentines
Bardmageddon,,https://www.youtube.com/results?search_query=Bardmageddon,7.63M,Minnesota German class
$18.00,,https://www.youtube.com/results?search_query=$18.00,7.42M,Minnesota skincare DIY
BABU GEE OMOSAYANSI,,https://www.youtube.com/results?search_query=BABU+GEE+OMOSAYANSI,7.25M,Minnesota tutor
HotWheelCrazy,,https://www.youtube.com/results?search_query=HotWheelCrazy,7.25M,Minnesota swap meet
Minnesota eggroll Lady Yahiness,,https://www.youtube.com/results?search_query=Minnesota+eggroll+Lady+Yahiness,7.22M,Minnesota chef
MohaveValleyHillsAZ,,https://www.youtube.com/results?search_query=MohaveValleyHillsAZ,7.14M,Minnesota synagogue
BabySajalover109!,,https://www.youtube.com/results?search_query=BabySajalover109!,7.14M,Minnesota belt making
Donut Operator,,https://www.youtube.com/results?search_query=Donut+Operator,7.09M,Minnesota table tennis
Queen of the Wild; Gypsy Heart Van Life,,https://www.youtube.com/results?search_query=Queen+of+the+Wild;+Gypsy+Heart+Van+Life,7.09M,Minnesota bed and breakfast
Ben Shapiro,,https://www.youtube.com/results?search_query=Ben+Shapiro,7.09M,Minnesota Middle Eastern food
SubwayTakes with Kareem Rahma,,https://www.youtube.com/results?search_query=SubwayTakes+with+Kareem+Rahma,7.09M,Minnesota German food
Noy and Julie’s Adventure,,https://www.youtube.com/results?search_query=Noy+and+Julie’s+Adventure,7.09M,Minnesota brisket
RabbiJeremyFine,,https://www.youtube.com/results?search_query=RabbiJeremyFine,7.09M,Minnesota synagogue
lexwhity,,https://www.youtube.com/results?search_query=lexwhity,7.09M,Minnesota online degree
Thoughtful Talk,,https://www.youtube.com/results?search_query=Thoughtful+Talk,7.09M,Minnesota Middle Eastern food
Tom Cruise,,https://www.youtube.com/results?search_query=Tom+Cruise,7.09M,Minnesota online degree
KDR Media,,https://www.youtube.com/results?search_query=KDR+Media,7.09M,Martin County MN
American Horizon News,,https://www.youtube.com/results?search_query=American+Horizon+News,6.95M,Minnesota current events
Antiquarian Booksellers' Association of America,,https://www.youtube.com/results?search_query=Antiquarian+Booksellers'+Association+of+America,6.94M,Minnesota CPA
Bad Ass Bikes,,https://www.youtube.com/results?search_query=Bad+Ass+Bikes,6.88M,Minnesota bike shop
Brett Budach,,https://www.youtube.com/results?search_query=Brett+Budach,6.88M,Minnesota hot dog
Taco,,https://www.youtube.com/results?search_query=Taco,6.88M,Minnesota taco
Coyote Creek Outdoors,,https://www.youtube.com/results?search_query=Coyote+Creek+Outdoors,6.88M,Minnesota gun shop
Sweet Shine Mobile Detailing,,https://www.youtube.com/results?search_query=Sweet+Shine+Mobile+Detailing,6.88M,Minnesota car wash
MorriesBodyworks,@MorriesBodyworks,https://www.youtube.com/results?search_query=MorriesBodyworks,6.88M,Minnesota body shop
MCA KUSTOMS,,https://www.youtube.com/results?search_query=MCA+KUSTOMS,6.88M,Minnesota motorcycle dealer
"University of Minnesota, School of Nursing, HRSA Kaas Grant",@universityofminnesotaschoo1364,"https://www.youtube.com/results?search_query=University+of+Minnesota,+School+of+Nursing,+HRSA+Kaas+Grant",6.88M,Minnesota medical school
State Insurance Agency,@StateInsuranceAgency,https://www.youtube.com/results?search_query=State+Insurance+Agency,6.88M,Minnesota motorcycle dealer
Ali Mashadi,@alimashadi014,https://www.youtube.com/results?search_query=Ali+Mashadi,6.88M,Minnesota medical school
Jessica Hartger,,https://www.youtube.com/results?search_query=Jessica+Hartger,6.88M,Washington County Minnesota
Janice Gassam Asare,,https://www.youtube.com/results?search_query=Janice+Gassam+Asare,6.84M,Minnesota psychologist
Molly Brandt,,https://www.youtube.com/results?search_query=Molly+Brandt,6.84M,Minnesota dive bar
Ten Thousand Makes,,https://www.youtube.com/results?search_query=Ten+Thousand+Makes,6.84M,Minnesota gun shop
Avalanche Apparel,,https://www.youtube.com/results?search_query=Avalanche+Apparel,6.84M,Minnesota pet store
TimTimEUC,,https://www.youtube.com/results?search_query=TimTimEUC,6.84M,Minnesota suspension
Candace Owens,,https://www.youtube.com/results?search_query=Candace+Owens,6.84M,Minnesota French class
Ellie Hino,,https://www.youtube.com/results?search_query=Ellie+Hino,6.84M,Minnesota hospice
Miranda Joslin,,https://www.youtube.com/results?search_query=Miranda+Joslin,6.84M,Minnesota soap making
The Writing On the Wall,,https://www.youtube.com/results?search_query=The+Writing+On+the+Wall,6.84M,Minnesota psychologist
JWA360,@JWA360DigitalMarketing,https://www.youtube.com/results?search_query=JWA360,6.84M,Minnesota lions club
Horizon Edge Media,,https://www.youtube.com/results?search_query=Horizon+Edge+Media,6.84M,Minnesota transplant
Techy Plays,,https://www.youtube.com/results?search_query=Techy+Plays,6.73M,Minnesota band hire
Dimension 20,,https://www.youtube.com/results?search_query=Dimension+20,6.73M,Minnesota escape room
ThisweekMN,,https://www.youtube.com/results?search_query=ThisweekMN,6.73M,Minnesota amusement park
Ferris Films Media,,https://www.youtube.com/results?search_query=Ferris+Films+Media,6.73M,Minnesota mega church
Pinay Adventurer,,https://www.youtube.com/results?search_query=Pinay+Adventurer,6.61M,Minnesota marina
GW French,,https://www.youtube.com/results?search_query=GW+French,6.61M,Minnesota French class
Nick Freitas,,https://www.youtube.com/results?search_query=Nick+Freitas,6.61M,Minnesota influencer
InFullMotion,,https://www.youtube.com/results?search_query=InFullMotion,6.61M,Minnesota Valentines
Chuy Mine,,https://www.youtube.com/results?search_query=Chuy+Mine,6.61M,Minnesota marina
Enjoy Eagan Minnesota,,https://www.youtube.com/results?search_query=Enjoy+Eagan+Minnesota,6.51M,Minnesota Korean food
GBNews,,https://www.youtube.com/results?search_query=GBNews,6.29M,Minnesota bed and breakfast
"Minneapolis MN, underground HIP-HOP.",,"https://www.youtube.com/results?search_query=Minneapolis+MN,+underground+HIP-HOP.",6.29M,Minnesota steakhouse
brainerdcityguide,@brainerdcityguide,https://www.youtube.com/results?search_query=brainerdcityguide,6.29M,Minnesota seafood
eesthailand2011,,https://www.youtube.com/results?search_query=eesthailand2011,6.29M,Minnesota Thai food
US Masala,,https://www.youtube.com/results?search_query=US+Masala,6.29M,Minnesota Indian food
Soo Jin Kang,,https://www.youtube.com/results?search_query=Soo+Jin+Kang,6.29M,Minnesota Greek food
Kimmel Clark,,https://www.youtube.com/results?search_query=Kimmel+Clark,6.29M,Minnesota Middle Eastern food
Coffee Tales,,https://www.youtube.com/results?search_query=Coffee+Tales,6.29M,Minnesota British pub
Northern Indoorsman,,https://www.youtube.com/results?search_query=Northern+Indoorsman,6.29M,Minnesota hot dog
UMN Delta Phi Lambda,,https://www.youtube.com/results?search_query=UMN+Delta+Phi+Lambda,6.29M,Minnesota pho
JimmyChaFamBam,,https://www.youtube.com/results?search_query=JimmyChaFamBam,6.29M,Minnesota pho
JAKORUMBA,,https://www.youtube.com/results?search_query=JAKORUMBA,6.29M,Minnesota ribs
Old Red Barn Productions,,https://www.youtube.com/results?search_query=Old+Red+Barn+Productions,6.29M,Minnesota banquet hall
kenzie_shrimposting,,https://www.youtube.com/results?search_query=kenzie_shrimposting,6.29M,Minnesota seafood
Netta A,,https://www.youtube.com/results?search_query=Netta+A,6.29M,Minnesota Thai food
Ruby Moon,@rubymoon5103,https://www.youtube.com/results?search_query=Ruby+Moon,6.29M,Minnesota pho
D H,,https://www.youtube.com/results?search_query=D+H,6.29M,Minnesota ribs
Luke Krosch,,https://www.youtube.com/results?search_query=Luke+Krosch,6.29M,Minnesota brisket
The Unsolved Room,,https://www.youtube.com/results?search_query=The+Unsolved+Room,6.25M,Minnesota tutor
LIVING IN SIOUX FALLS: Amy Stockberger Real Estate,,https://www.youtube.com/results?search_query=LIVING+IN+SIOUX+FALLS:+Amy+Stockberger+Real+Estate,6.14M,Minnesota fence company
Two Chickens and a Turkey,,https://www.youtube.com/results?search_query=Two+Chickens+and+a+Turkey,6.12M,Minnesota trampoline park
Aleksey7,,https://www.youtube.com/results?search_query=Aleksey7,6.12M,Minnesota trampoline park
Nick Johnson,,https://www.youtube.com/results?search_query=Nick+Johnson,6.1M,Minnesota Middle Eastern food
Koopa Da Quick,,https://www.youtube.com/results?search_query=Koopa+Da+Quick,6.1M,Minnesota Polish food
Faith & Life,,https://www.youtube.com/results?search_query=Faith+&+Life,6.1M,Minnesota church sale
asset218,,https://www.youtube.com/results?search_query=asset218,6.1M,Minnesota laser tag
Firstpost,,https://www.youtube.com/results?search_query=Firstpost,6.1M,Minnesota Middle Eastern food
BRAINROTCAB,,https://www.youtube.com/results?search_query=BRAINROTCAB,6.1M,Minnesota taco
Alicia Liz,,https://www.youtube.com/results?search_query=Alicia+Liz,6.1M,Minnesota laser tag
Butter Bizkit,,https://www.youtube.com/results?search_query=Butter+Bizkit,6.1M,Minnesota mega church
Aqua Minneapolis,,https://www.youtube.com/results?search_query=Aqua+Minneapolis,6.03M,Minneapolis club
IN MY HUMBLE OPINION (IMHO Talk Show),,https://www.youtube.com/results?search_query=IN+MY+HUMBLE+OPINION+(IMHO+Talk+Show),5.98M,Minnesota talk show
Fast Eddie's Adventures,,https://www.youtube.com/results?search_query=Fast+Eddie's+Adventures,5.98M,Minnesota shoe store
happenings,,https://www.youtube.com/results?search_query=happenings,5.98M,Minnesota mega church
FreeThinker101,,https://www.youtube.com/results?search_query=FreeThinker101,5.98M,Minnesota radio show
Hillary Pham ♡,,https://www.youtube.com/results?search_query=Hillary+Pham+♡,5.93M,Minnesota candle making
flywithrufaro,,https://www.youtube.com/results?search_query=flywithrufaro,5.93M,Minnesota private university
Rugged tree service,,https://www.youtube.com/results?search_query=Rugged+tree+service,5.93M,Minnesota emergency room
Lee's Blossom Echocrafting,,https://www.youtube.com/results?search_query=Lee's+Blossom+Echocrafting,5.93M,Minnesota candle making
"Love, Elisa",,"https://www.youtube.com/results?search_query=Love,+Elisa",5.85M,Minnesota creator
theshavingman,,https://www.youtube.com/results?search_query=theshavingman,5.85M,Lauderdale Minnesota
Simply Ride,,https://www.youtube.com/results?search_query=Simply+Ride,5.85M,Minnesota bike repair
StevenCrowder,,https://www.youtube.com/results?search_query=StevenCrowder,5.85M,Minnesota hot dog
Allstate Peterbilt Group,,https://www.youtube.com/results?search_query=Allstate+Peterbilt+Group,5.85M,Minnesota body shop
Shyelle Everyday,,https://www.youtube.com/results?search_query=Shyelle+Everyday,5.85M,Minnesota influencer
Mike Gallagher Show,,https://www.youtube.com/results?search_query=Mike+Gallagher+Show,5.85M,Minnesota radio show
Dogs on Hogs & more,,https://www.youtube.com/results?search_query=Dogs+on+Hogs+&+more,5.85M,Minnesota bike repair
Theresa Wanless,,https://www.youtube.com/results?search_query=Theresa+Wanless,5.72M,Minnesota Polish food
