channel_name,handle,profile_url,subscriber_count,found_in_query
Michael Sedki,,https://www.youtube.com/results?search_query=Michael+Sedki,1.83K,Seward Minneapolis
AmorVincetOmnia,,https://www.youtube.com/results?search_query=AmorVincetOmnia,1.82K,Minnesota mom
Alm Minnesota,@almminnesota5235,https://www.youtube.com/results?search_query=Alm+Minnesota,1.82K,Minnesota mom
QC Frozen Pizza,,https://www.youtube.com/results?search_query=QC+Frozen+Pizza,1.82K,Minnesota pizza
AndSowItGrows MN,,https://www.youtube.com/results?search_query=AndSowItGrows+MN,1.82K,Minnesota mom
Minnesota Proud,,https://www.youtube.com/results?search_query=Minnesota+Proud,1.82K,Minnesota blizzard
FirstPath Frontier,,https://www.youtube.com/results?search_query=FirstPath+Frontier,1.82K,Minnesota blizzard
Minnesota Sports Gaming,@minnesotasportsgaming1021,https://www.youtube.com/results?search_query=Minnesota+Sports+Gaming,1.82K,Minnesota gaming
Andrew Shipe,,https://www.youtube.com/results?search_query=Andrew+Shipe,1.82K,Landfall MN
Washington Hebrew Congregation,,https://www.youtube.com/results?search_query=Washington+Hebrew+Congregation,1.82K,Minnesota synagogue
UMN Extension Master Gardener Volunteer Program,,https://www.youtube.com/results?search_query=UMN+Extension+Master+Gardener+Volunteer+Program,1.82K,Minnesota gardening
Weather Loon,,https://www.youtube.com/results?search_query=Weather+Loon,1.82K,Minnesota blizzard
Adat Shalom Reconstructionist Congregation,,https://www.youtube.com/results?search_query=Adat+Shalom+Reconstructionist+Congregation,1.82K,Minnesota synagogue
Laura Risdall,,https://www.youtube.com/results?search_query=Laura+Risdall,1.82K,Minnesota gardening
All Seasons Wild Bird Store,,https://www.youtube.com/results?search_query=All+Seasons+Wild+Bird+Store,1.81K,Minnesota birds
Minnesota Pentecostal Assembly,,https://www.youtube.com/results?search_query=Minnesota+Pentecostal+Assembly,1.81K,Minnesota church
PBS North,,https://www.youtube.com/results?search_query=PBS+North,1.81K,North Minnesota
Matrix Retail,,https://www.youtube.com/results?search_query=Matrix+Retail,1.81K,Minnesota retail
MNFairEconomy,,https://www.youtube.com/results?search_query=MNFairEconomy,1.81K,Minnesota retail
KendoGunShop,,https://www.youtube.com/results?search_query=KendoGunShop,1.81K,Minnesota gun shop
Roshan Digital Account Ramadan Initiative | Support Charities from Anywhere,,https://www.youtube.com/results?search_query=Roshan+Digital+Account+Ramadan+Initiative+|+Support+Charities+from+Anywhere,1.81K,Minnesota baptist
University of Minnesota Morris,,https://www.youtube.com/results?search_query=University+of+Minnesota+Morris,1.81K,Minnesota campus
UMRochester,,https://www.youtube.com/results?search_query=UMRochester,1.81K,Minnesota campus
https://www.capitalbaptist.org/,,https://www.youtube.com/results?search_query=https://www.capitalbaptist.org/,1.81K,Minnesota baptist
DowntownRochesterMN,,https://www.youtube.com/results?search_query=DowntownRochesterMN,1.81K,Minnesota downtown
Industrial Machining Hub,@IndustrialMachiningHub,https://www.youtube.com/results?search_query=Industrial+Machining+Hub,1.81K,Minnesota metalworking
Mnbucketlistmom,,https://www.youtube.com/results?search_query=Mnbucketlistmom,1.81K,MN mom
City of Mankato,,https://www.youtube.com/results?search_query=City+of+Mankato,1.8K,Mankato Minnesota
Elevate Mankato,,https://www.youtube.com/results?search_query=Elevate+Mankato,1.8K,Mankato Minnesota
Farm Life in America,@farmlifeinamerica1156,https://www.youtube.com/results?search_query=Farm+Life+in+America,1.8K,Minnesota farm life
Coffee Art®,,https://www.youtube.com/results?search_query=Coffee+Art®,1.8K,Minnesota coffee
Shoe Button,,https://www.youtube.com/results?search_query=Shoe+Button,1.8K,Minnesota boutique
Mankato Free Press,,https://www.youtube.com/results?search_query=Mankato+Free+Press,1.8K,Mankato Minnesota
Minnesota Implement,,https://www.youtube.com/results?search_query=Minnesota+Implement,1.8K,Minnesota boutique
Morris Minnesota City Government,,https://www.youtube.com/results?search_query=Morris+Minnesota+City+Government,1.8K,Minnesota interview
