username,profile_url,follower_count,found_in_query
designsbycaryss,https://www.tiktok.com/@designsbycaryss,103.6K,Minnesota small business
strictlyminnesota,https://www.tiktok.com/@strictlyminnesota,99.5K,Minnesota comedy
fitnesscenter39,https://www.tiktok.com/@fitnesscenter39,94.9K,Minnesota fitness
minnesotas_plug,https://www.tiktok.com/@minnesotas_plug,93.5K,Minnesota influencer
madebylilyz,https://www.tiktok.com/@madebylilyz,92.3K,Minnesota small business
startribune,https://www.tiktok.com/@startribune,90.6K,Minnesota
minsasfamily5,https://www.tiktok.com/@minsasfamily5,83.4K,Minnesota family
mincatfunny,https://www.tiktok.com/@mincatfunny,81.1K,Minnesota cat
thoitrang.minan123,https://www.tiktok.com/@thoitrang.minan123,78.2K,Minnesota fashion
cityminneapolis,https://www.tiktok.com/@cityminneapolis,76.9K,Minneapolis
thebujico,https://www.tiktok.com/@thebujico,75.9K,Minnesota small business
minnesota.motors,https://www.tiktok.com/@minnesota.motors,73.8K,Minnesota entrepreneur
minnesota.news.now,https://www.tiktok.com/@minnesota.news.now,71.9K,Minnesota
minnesotamylf,https://www.tiktok.com/@minnesotamylf,69.1K,Minnesota
live,https://www.tiktok.com/@live,69.1K,Minnesota
highland_daily_life1,https://www.tiktok.com/@highland_daily_life1,66.7K,Minnesota fashion
minnesotasnowmobiles,https://www.tiktok.com/@minnesotasnowmobiles,63.4K,Minnesota snow
syl.mua,https://www.tiktok.com/@syl.mua,60.1K,Minnesota makeup artist
oneal_realestate,https://www.tiktok.com/@oneal_realestate,60.1K,Minnesota real estate
dr.mintesnot,https://www.tiktok.com/@dr.mintesnot,58.7K,Minnesota doctor
chi2wice_official,https://www.tiktok.com/@chi2wice_official,57K,MN creator
spass289,https://www.tiktok.com/@spass289,55.9K,Minnesota comedy
makingitinminnesota,https://www.tiktok.com/@makingitinminnesota,52.9K,Minnesota
therealminnesotacold,https://www.tiktok.com/@therealminnesotacold,51.3K,Minnesota college
minsi_outdoors,https://www.tiktok.com/@minsi_outdoors,51.2K,Minnesota outdoors
pao_minneapolis,https://www.tiktok.com/@pao_minneapolis,50.9K,Minneapolis
eatminnesota,https://www.tiktok.com/@eatminnesota,50K,Minnesota
mnstatefair,https://www.tiktok.com/@mnstatefair,49.6K,Minnesota
minnesotamomma1,https://www.tiktok.com/@minnesotamomma1,48.5K,Minnesota mom
minnesota_jeep_olllllllo,https://www.tiktok.com/@minnesota_jeep_olllllllo,47.9K,Minnesota
evasjewles,https://www.tiktok.com/@evasjewles,47.2K,Minnesota small business
minnesotamami,https://www.tiktok.com/@minnesotamami,46.9K,Minnesota
dogdaysofminnesota,https://www.tiktok.com/@dogdaysofminnesota,45.6K,Minnesota dog
queen_rae,https://www.tiktok.com/@queen_rae,44.6K,Minnesota Twins fan
l.ntrepreneur2.0,https://www.tiktok.com/@l.ntrepreneur2.0,43.5K,Minnesota entrepreneur
dalieustpaulclinic,https://www.tiktok.com/@dalieustpaulclinic,41.2K,St Paul Minnesota
heyguysitsdad,https://www.tiktok.com/@heyguysitsdad,41.1K,Minnesota dad
mspmag,https://www.tiktok.com/@mspmag,40.4K,St Paul Minnesota
pwhl_frost,https://www.tiktok.com/@pwhl_frost,39.3K,Minnesota
kenchiyang,https://www.tiktok.com/@kenchiyang,39.2K,Minnesota comedy
minavett_,https://www.tiktok.com/@minavett_,37.9K,Minnesota vet
lesleytherealtormn,https://www.tiktok.com/@lesleytherealtormn,35.9K,Minnesota realtor
minte.fitnesscoach,https://www.tiktok.com/@minte.fitnesscoach,33.8K,Minnesota fitness coach
twincitiesmusic,https://www.tiktok.com/@twincitiesmusic,33.6K,Twin Cities
coach_fitness_0,https://www.tiktok.com/@coach_fitness_0,33.5K,Minnesota fitness coach
minnesotaboy252,https://www.tiktok.com/@minnesotaboy252,33.4K,Minnesota boy
wintersmine,https://www.tiktok.com/@wintersmine,33.4K,Minnesota winter
wintersmin,https://www.tiktok.com/@wintersmin,33.4K,Minnesota winter
mn.creator097,https://www.tiktok.com/@mn.creator097,33.2K,MN creator
erick1776minnesota,https://www.tiktok.com/@erick1776minnesota,32.4K,Minnesota
phy6y,https://www.tiktok.com/@phy6y,32.3K,Minnesota fashion
m_ntiktok,https://www.tiktok.com/@m_ntiktok,29.8K,MN TikTok
carmen,https://www.tiktok.com/@carmen,28.4K,Minnesota hunting
agirlthatlikestobullshit,https://www.tiktok.com/@agirlthatlikestobullshit,28.4K,Minnesota hunting
travelwithgenz_,https://www.tiktok.com/@travelwithgenz_,26.2K,MN creator
closed,https://www.tiktok.com/@closed,25.6K,St Cloud Minnesota
stclouds,https://www.tiktok.com/@stclouds,25.6K,St Cloud Minnesota
foodmintos,https://www.tiktok.com/@foodmintos,24.2K,Minnesota food
gay_gronk716,https://www.tiktok.com/@gay_gronk716,22.2K,St Cloud Minnesota
minnesotahoods,https://www.tiktok.com/@minnesotahoods,20K,Minneapolis
topperlift,https://www.tiktok.com/@topperlift,20K,Minnesota comedy
gigisplayhousetwincities,https://www.tiktok.com/@gigisplayhousetwincities,20K,Twin Cities
umntwincities,https://www.tiktok.com/@umntwincities,19.1K,University of Minnesota
pinkangie72,https://www.tiktok.com/@pinkangie72,18.5K,Minnesota girl
handmadebyemmie,https://www.tiktok.com/@handmadebyemmie,18.4K,Minnesota small business
mnsnow2,https://www.tiktok.com/@mnsnow2,18.3K,Minnesota snow
minnesota_snowmobiles2,https://www.tiktok.com/@minnesota_snowmobiles2,18.3K,Minnesota snow
snugglesomebyserah0,https://www.tiktok.com/@snugglesomebyserah0,18.2K,Minnesota small business
drstpaul,https://www.tiktok.com/@drstpaul,18K,St Paul Minnesota
polnitoenmislikes,https://www.tiktok.com/@polnitoenmislikes,17.1K,Minneapolis TikTok
mnvaluemotors,https://www.tiktok.com/@mnvaluemotors,17.1K,Minnesota motorcycle
twin_cities.01,https://www.tiktok.com/@twin_cities.01,16.3K,Twin Cities TikTok
minnesotadfl,https://www.tiktok.com/@minnesotadfl,16.2K,Minnesota
myfitnesscoach,https://www.tiktok.com/@myfitnesscoach,16K,Minnesota fitness coach
myfitnesscoachofficial,https://www.tiktok.com/@myfitnesscoachofficial,16K,Minnesota fitness coach
smallbusinesstipps,https://www.tiktok.com/@smallbusinesstipps,15.9K,Minnesota small business
bitesbyany,https://www.tiktok.com/@bitesbyany,15.6K,Minneapolis
stpauls.s.slweza,https://www.tiktok.com/@stpauls.s.slweza,15.6K,St Paul Minnesota
mgmediaco,https://www.tiktok.com/@mgmediaco,15.6K,Minnesota fashion
wassupminnesota,https://www.tiktok.com/@wassupminnesota,15.5K,Minnesota camping
shop_boomcase,https://www.tiktok.com/@shop_boomcase,15.4K,Minnesota small business
fitwithminna,https://www.tiktok.com/@fitwithminna,15.3K,Minnesota fitness
minnstmhockey,https://www.tiktok.com/@minnstmhockey,15.2K,Minnesota hockey
minnnesota,https://www.tiktok.com/@minnnesota,14.8K,Minnesota nurse
thisisroc,https://www.tiktok.com/@thisisroc,14.7K,Rochester Minnesota
minacomedy,https://www.tiktok.com/@minacomedy,14.6K,Minnesota comedy
latinainminnesota,https://www.tiktok.com/@latinainminnesota,14.6K,Minnesota TikTok
mmudasir_brand1,https://www.tiktok.com/@mmudasir_brand1,14.5K,MN TikTok
minnesotaaveragemom,https://www.tiktok.com/@minnesotaaveragemom,14.4K,Minnesota mom
lipgloss_small_business0,https://www.tiktok.com/@lipgloss_small_business0,14.3K,Minnesota small business
dae_cutz,https://www.tiktok.com/@dae_cutz,14.2K,Minnesota barber
507josh_,https://www.tiktok.com/@507josh_,14.1K,Minnesota lifestyle
minnaslifestyle0,https://www.tiktok.com/@minnaslifestyle0,13.9K,Minnesota lifestyle
mssminneapolis,https://www.tiktok.com/@mssminneapolis,13.8K,Minneapolis TikTok
cortesn1_,https://www.tiktok.com/@cortesn1_,13.6K,Minnesota influencer
mpls,https://www.tiktok.com/@mpls,13.4K,MPLS
mpls813,https://www.tiktok.com/@mpls813,13.4K,MPLS
minnesota_molly,https://www.tiktok.com/@minnesota_molly,13.2K,Plymouth Minnesota
visitrochester,https://www.tiktok.com/@visitrochester,13.1K,Rochester Minnesota
st_paul5,https://www.tiktok.com/@st_paul5,12.8K,St Paul Minnesota
exploreminnesota,https://www.tiktok.com/@exploreminnesota,12.5K,Minnesota
kaysbeautyshop,https://www.tiktok.com/@kaysbeautyshop,12.4K,Minnesota small business
minnesotaboy,https://www.tiktok.com/@minnesotaboy,12.2K,Minnesota boy
kyle,https://www.tiktok.com/@kyle,12.2K,Minnesota boy
minigifties,https://www.tiktok.com/@minigifties,12K,Minnesota small business
gopherspirit,https://www.tiktok.com/@gopherspirit,11.6K,University of Minnesota
justaboymomma2,https://www.tiktok.com/@justaboymomma2,11.2K,MN mom
mplsinstart,https://www.tiktok.com/@mplsinstart,10.9K,Minneapolis
st.paul310,https://www.tiktok.com/@st.paul310,10.8K,St Paul Minnesota
the_coach_fitness,https://www.tiktok.com/@the_coach_fitness,10.6K,Minnesota fitness coach
user2823857838,https://www.tiktok.com/@user2823857838,10.4K,Minnesota influencer
mwadefit,https://www.tiktok.com/@mwadefit,10.4K,Minnesota fitness coach
isaacreeceo6,https://www.tiktok.com/@isaacreeceo6,10.2K,Minnesota dad
minnesota_usa,https://www.tiktok.com/@minnesota_usa,10.1K,Minnesota youtuber
sentinasmith,https://www.tiktok.com/@sentinasmith,9617,Moorhead Minnesota
bombdiggity0,https://www.tiktok.com/@bombdiggity0,8984,Minnesota small business
minnefashion,https://www.tiktok.com/@minnefashion,8938,Minnesota fashion
twin.cities.eats,https://www.tiktok.com/@twin.cities.eats,8848,Twin Cities
minnesotanurses,https://www.tiktok.com/@minnesotanurses,8757,Minnesota nurse
rosevellam,https://www.tiktok.com/@rosevellam,8747,Roseville Minnesota
nonstopaddict617,https://www.tiktok.com/@nonstopaddict617,8365,Minnesota creator
minnesota.outdoorsy.gal,https://www.tiktok.com/@minnesota.outdoorsy.gal,8173,Minnesota outdoors
user634xr8k2ak,https://www.tiktok.com/@user634xr8k2ak,8096,Minnesota Twins fan
umnduluth,https://www.tiktok.com/@umnduluth,7907,Duluth Minnesota
saturdaynightjeweler,https://www.tiktok.com/@saturdaynightjeweler,7632,Minnesota small business
mrsminny,https://www.tiktok.com/@mrsminny,7576,Minnesota nurse
mrsminnesota,https://www.tiktok.com/@mrsminnesota,7576,Minnesota nurse
mnwinebabes,https://www.tiktok.com/@mnwinebabes,7442,Minnesota winery
minnesotaoutdoorman,https://www.tiktok.com/@minnesotaoutdoorman,7395,Minnesota outdoors
minymakeup1,https://www.tiktok.com/@minymakeup1,7363,Minnesota makeup
mnyachtclub,https://www.tiktok.com/@mnyachtclub,7194,Minnesota festival
crochet.by.t1na,https://www.tiktok.com/@crochet.by.t1na,7071,Minnesota small business
essentialdecormn,https://www.tiktok.com/@essentialdecormn,7048,Minneapolis
minnesotawildfanpage,https://www.tiktok.com/@minnesotawildfanpage,6719,Minnesota Wild fan
craftsbyamberk,https://www.tiktok.com/@craftsbyamberk,6697,Minnesota small business
minnesota788,https://www.tiktok.com/@minnesota788,6614,Minnesota TikTok
minnesota,https://www.tiktok.com/@minnesota,6614,Minnesota TikTok
iaintnostpaul,https://www.tiktok.com/@iaintnostpaul,6583,St Paul Minnesota
jerzeyhustledesigns,https://www.tiktok.com/@jerzeyhustledesigns,6500,Minnesota small business
minnesotadaddeals,https://www.tiktok.com/@minnesotadaddeals,6439,Minnesota dad
minnesotahunter,https://www.tiktok.com/@minnesotahunter,6150,Minnesota hunting
dqstpaul,https://www.tiktok.com/@dqstpaul,6138,St Paul Minnesota
small.business321,https://www.tiktok.com/@small.business321,6085,Minnesota small business
minnesotafan,https://www.tiktok.com/@minnesotafan,6053,Mankato Minnesota
minnesotafan29,https://www.tiktok.com/@minnesotafan29,6053,Mankato Minnesota
wig_express_official,https://www.tiktok.com/@wig_express_official,5998,Minnesota small business
rozamoh5,https://www.tiktok.com/@rozamoh5,5994,Minnesota fashion
minnesota_afk,https://www.tiktok.com/@minnesota_afk,5957,Minnesota TikTok
minnesotalife77,https://www.tiktok.com/@minnesotalife77,5871,Minnesota life
minnesotalife,https://www.tiktok.com/@minnesotalife,5870,Minnesota life
minnesota1428,https://www.tiktok.com/@minnesota1428,5811,Minnesota TikTok
kiss.minnesota7777777,https://www.tiktok.com/@kiss.minnesota7777777,5426,Minnesota keto
eventoschaskao4,https://www.tiktok.com/@eventoschaskao4,5164,Chaska Minnesota
mini.lifestyl,https://www.tiktok.com/@mini.lifestyl,5152,Minnesota lifestyle
countryboy101413,https://www.tiktok.com/@countryboy101413,5030,Minnesota boy
mntiktokcreator,https://www.tiktok.com/@mntiktokcreator,5025,MN TikTok
twwedenprairiemn,https://www.tiktok.com/@twwedenprairiemn,5003,Eden Prairie Minnesota
stcloudscootergang,https://www.tiktok.com/@stcloudscootergang,4995,St Cloud Minnesota
chilleditz223,https://www.tiktok.com/@chilleditz223,4995,St Cloud Minnesota
msminkat,https://www.tiktok.com/@msminkat,4916,Mankato Minnesota
minneapolissurtv,https://www.tiktok.com/@minneapolissurtv,4842,Minneapolis TikTok
hotdishandheartburn,https://www.tiktok.com/@hotdishandheartburn,4839,MN mom
choppedbycoreyyllc,https://www.tiktok.com/@choppedbycoreyyllc,4778,Minnesota barber
contentcreateacademy,https://www.tiktok.com/@contentcreateacademy,4763,Minnesota content creator
minnesotaboy8,https://www.tiktok.com/@minnesotaboy8,4500,Minnesota boy
mx.na02,https://www.tiktok.com/@mx.na02,4482,Minnesota nurse
minx_fashion_,https://www.tiktok.com/@minx_fashion_,4435,Minnesota fashion
minnesotanice8,https://www.tiktok.com/@minnesotanice8,4418,Minnesota boy
minnesooota83,https://www.tiktok.com/@minnesooota83,4397,Minnesota food
minnesooota,https://www.tiktok.com/@minnesooota,4397,Minnesota creator
minnesota.fishing,https://www.tiktok.com/@minnesota.fishing,4390,Minnesota fishing
minefitnesscoach,https://www.tiktok.com/@minefitnesscoach,4361,Minnesota fitness coach
minnesotadad,https://www.tiktok.com/@minnesotadad,4315,Minnesota dad
minnesotadad2024,https://www.tiktok.com/@minnesotadad2024,4314,Minnesota dad
amberokerman1987,https://www.tiktok.com/@amberokerman1987,4300,Minnesota girl
rachel,https://www.tiktok.com/@rachel,4273,Minnesota realtor
meganriv1,https://www.tiktok.com/@meganriv1,4249,Minnesota vegan
mnmom,https://www.tiktok.com/@mnmom,4237,MN mom
jen_7b,https://www.tiktok.com/@jen_7b,4237,MN mom
minnesotasfinnest,https://www.tiktok.com/@minnesotasfinnest,4156,Minnesota fitness
twincitiescollective,https://www.tiktok.com/@twincitiescollective,4090,Twin Cities
southernminnoutdoors,https://www.tiktok.com/@southernminnoutdoors,4044,Minnesota outdoors
tiktik_hub,https://www.tiktok.com/@tiktik_hub,4040,Twin Cities TikTok
qamariacoffeemn,https://www.tiktok.com/@qamariacoffeemn,3665,Minnesota coffee
qamariacoffeeminnesota,https://www.tiktok.com/@qamariacoffeeminnesota,3665,Minnesota coffee
minnesotamomma90,https://www.tiktok.com/@minnesotamomma90,3527,Minnesota mom
lhad102008,https://www.tiktok.com/@lhad102008,3527,Minnesota mom
minnesotagirl,https://www.tiktok.com/@minnesotagirl,3415,Minnesota girl
minnesotagirl_gen_x,https://www.tiktok.com/@minnesotagirl_gen_x,3415,Minnesota girl
